water_system_no,water_system_name,type,status,county,source_type,link
SC4650051,BGWC LESSLIEWOODS 2 (SC4650051),C,A,YORK,GW,
SC3250050,BGWC LEXINGTON ESTATES (SC3250050),C,A,LEXINGTON,GW,
SC3250069,BGWC LEXINGTON FARMS (SC3250069),C,A,LEXINGTON,GW,
SC3250076,BGWC MALLARD COVE (SC3250076),C,A,LEXINGTON,GW,
SC4650057,BGWC MALLARD LAKES (SC4650057),C,A,YORK,GW,
SC4650052,BGWC MIDDLESTREAM (SC4650052),C,A,YORK,GW,
SC3250025,BGWC MILMONT SHORES (SC3250025),C,A,LEXINGTON,GW,
SC3250013,BGWC MURRAY LODGE (3250013),C,A,LEXINGTON,GW,
SC3250019,BGWC MURRAY PARK ESTATES (SC3250019),C,A,LEXINGTON,GW,
SC0450007,BGWC NEVITT FOREST (SC0450007),C,A,ANDERSON,SWP,
SC4350006,BGWC OAKLAND PLANTATION (SC4350006),C,A,SUMTER,GW,
SC4050019,BGWC OAKRIDGE HUNT CLUB (SC4050019),C,A,RICHLAND,GW,
SC0450076,BGWC OAKWOOD ESTATES (0450076),C,A,ANDERSON,SWP,
SC4650042,BGWC OLD FARM (SC4650042),C,A,YORK,GW,
SC4650053,BGWC OLYMPIC ACRES (SC4650053),C,A,YORK,GW,
SC3250029,BGWC PARKWOOD S/D (3250029),C,A,LEXINGTON,SWP,
SC3250045,BGWC PEACHTREE ACRES (3250045),C,A,LEXINGTON,SWP,
SC4660101,BGWC PEPPERIDGE (SC4660101),C,A,YORK,GW,
SC4350007,BGWC POCALLA DEVELOPMENT (SC4350007),C,A,SUMTER,GW,
SC4660073,BGWC POLLYS CIRCLE (SC4660073),C,A,YORK,GW,
SC0150014,BGWC PURDY SHORES (0150014),C,A,ABBEVILLE,SWP,
SC4050015,BGWC RAINTREE ACRES (SC4050015),C,A,RICHLAND,SWP,
SC4650031,BGWC RIDGEWOOD (SC4650031),C,A,YORK,GW,
SC4660103,BGWC RIVERBEND ESTATES (SC4660103),C,A,YORK,GW,
SC4550001,BGWC ROCK BLUFF S/D (4550001),C,A,WILLIAMSBURG,GW,
SC3250052,BGWC ROLLINGWOOD (SC3250052),C,A,LEXINGTON,SWP,
SC3260012,BGWC SANGAREE MHP (SC3260012),C,A,LEXINGTON,GW,
SC4650009,BGWC SHANDON (SC4650009),C,A,YORK,GW,
SC0450029,BGWC SHERWOOD FOREST (SC0450029),C,A,ANDERSON,GW,
SC4660092,BGWC SHILOH QUARTERS (SC4660092),C,A,YORK,GW,
SC4650034,BGWC SILVER LAKES-WINDWOOD (SC4650034),C,A,YORK,GW,
SC4660100,BGWC SOUTHBEND ESTATES (SC4660100),C,A,YORK,GW,
SC4050006,BGWC SPRINGFIELD ACRES (SC4050006),C,A,RICHLAND,GW,
SC4650012,BGWC SPRINGLAKE ESTATES (SC4650012),C,A,YORK,GW,
SC4050014,BGWC STONEGATE (SC4050014),C,A,RICHLAND,SWP,
SC0450066,BGWC SURFSIDE HEIGHTS (SC0450066),C,A,ANDERSON,SWP,
SC4150011,BGWC TANGLEWOOD S/D (SC4150011),C,A,SALUDA,GW,
SC3250023,BGWC TANYA TERRACE (SC3250023),C,A,LEXINGTON,GW,
SC3250063,BGWC THE LANDINGS (3250063),C,A,LEXINGTON,SWP,
SC0450003,BGWC TOWN CREEK (SC0450003),C,A,ANDERSON,SWP,
SC2350010,BGWC TROLLINGWOOD S/D (SC2350010),C,A,GREENVILLE,GW,
SC4650046,BGWC VALLEYMERE MH (SC4650046),C,A,YORK,GW,
SC4050013,BGWC WASHINGTON HEIGHTS (SC4050013),C,A,RICHLAND,SWP,
SC4650016,BGWC WESLEYWOOD (SC4650016),C,A,YORK,GW,
SC3250002,BGWC WESTSIDE TERRACE (3250002),C,A,LEXINGTON,SWP,
SC3250057,BGWC WINDY HILL (SC3250057),C,A,LEXINGTON,GW,
SC4650048,BGWC WINDY RUN (SC4650048),C,A,YORK,GW,
SC4650017,BGWC WINTERCREST (SC4650017),C,A,YORK,GW,
SC4650028,BGWC WOODBRIDGE (SC4650028),C,A,YORK,GW,
SC2350013,BGWC WOODMONT ESTATE (SC2350013),C,A,GREENVILLE,GW,
SC0420009,BIG CREEK W/S DISTRICT (0420009),C,A,ANDERSON,SWP,
SC0870802,BIG OAK LANDING (SC0870802),NC,A,BERKELEY,GW,
SC4070226,BIG TS BBQ (SC4070226),NC,A,RICHLAND,GW,
SC0270677,BISHOP GRAVATT CENTER (SC0270677),NC,A,AIKEN,GW,
