water_system_no,water_system_name,type,status,county,source_type,link
SC4670650,KINGS MT NATL MIL PARK (4670650),NC,A,YORK,GW,
SC1870928,KINGS ONE STOP (1870928),NC,A,DORCHESTER,GW,
SC4510002,KINGSTREE TOWN OF (SC4510002),C,A,WILLIAMSBURG,GW,
SC1570915,KK MART (SC1570915),NC,A,COLLETON,GW,
SC4360037,KOKOMO PALMS MHP (SC4360037),C,A,SUMTER,GW,
SC2110007,LAKE CITY CITY OF (SC2110007),C,A,FLORENCE,GW,
SC3270301,LAKE LODGE APARTMENTS (SC3270301),C,A,LEXINGTON,GW,
SC3820003,LAKE MARION REGIONAL WATER SYS (3820003),C,A,ORANGEBURG,SW,
SC3870852,LAKE MARION RES MARINA (3870852),NC,A,ORANGEBURG,GW,
SC0820008,LAKE MOULTRIE REGIONAL WS (SC0820008),C,A,BERKELEY,SW,
SC0870880,LAKE MOULTRIE RV PARK (SC0870880),NC,A,BERKELEY,GW,
SC1710003,LAKE VIEW TOWN OF (SC1710003),C,A,DILLON,GWP,
SC1470868,LAKE VUE MARINA & C/G (SC1470868),NC,A,CLARENDON,GW,
SC4660081,LAKE WYLIE MHP (SC4660081),C,A,YORK,GW,
SC3250030,LAKESIDE FOREST 2 (SC3250030),C,A,LEXINGTON,GWP,
SC1670676,LAKEVIEW CLUB (SC1670676),NC,A,DARLINGTON,GW,
SC0760001,LAKEVIEW MHP (SC0760001),C,A,BEAUFORT,GW,
SC3070402,LAKEVIEW MOTEL (SC3070402),NC,A,LAURENS,GW,
SC2660049,LAKEWOOD CAMPGROUND (SC2660049),C,A,HORRY,GW,
SC4060032,LAKEWOOD MHP (SC4060032),C,A,RICHLAND,GW,
SC1610004,LAMAR TOWN OF (SC1610004),C,A,DARLINGTON,GWP,
SC4660108,LAMBERT MHP (SC4660108),C,A,YORK,GW,
SC2910001,LANCASTER CITY OF (SC2910001),C,A,LANCASTER,SWP,
SC2920001,LANCASTER COUNTY W&SD (SC2920001),C,A,LANCASTER,SWP,
SC4050004,LANDS POINT S/D (SC4050004),C,A,RICHLAND,GW,
SC4510005,LANE TOWN OF (4510005),C,A,WILLIAMSBURG,GW,
SC0220001,LANGLEY W/D (SC0220001),C,A,AIKEN,GW,
SC1710002,LATTA TOWN OF (SC1710002),C,A,DILLON,GW,
SC3020001,LAURENS COUNTY W&S COMM (SC3020001),C,A,LAURENS,SW,
SC3010001,LAURENS CPW (SC3010001),C,A,LAURENS,SW,
SC3030005,LAURENS PROVING GROUND (SC3030005),NTNC,A,LAURENS,GW,
SC4640006,LAWRANCE TRACT (SC4640006),NC,A,YORK,GW,
SC2070800,LCC LITTLE CEDAR CRK RV PK #2(SC2070800),NC,A,FAIRFIELD,GW,
SC1570115,LCCA HEAD START (1570115),NTNC,A,COLLETON,GW,
SC4220010,LCF WATER DISTRICT (SC4220010),C,A,SPARTANBURG,SWP,
SC3210010,LCJMWSC-PELION TOWN OF (SC3210010),C,A,LEXINGTON,SWP,
SC0872007,LEBANON STOP (SC0872007),NC,A,BERKELEY,GW,
SC1870938,LEE'S STOP N SHOP LLC (SC1870938),NC,A,DORCHESTER,GW,
SC1470405,LENORAS SANTEE RESORT (SC1470405),NC,A,CLARENDON,GW,
SC2570205,LESTER'S COUNTRY BBQ LLC (SC2570205),NC,A,HAMPTON,GW,
SC1472002,LEVYS COUNTRY CORNER (SC1472002),NC,A,CLARENDON,GW,
SC3270941,LEX CO - SWANSEA PARK (SC3270941),NC,A,LEXINGTON,GW,
SC3270906,LEX CO REC-OAK GROVE (3270906),NC,A,LEXINGTON,GW,
SC3270907,LEX CO SERVICE COMPLEX (SC3270907),NC,A,LEXINGTON,GW,
SC3210001,LEXINGTON TOWN OF (3210001),C,A,LEXINGTON,SWP,
SC4670106,LIBERTY BAPTIST CHURCH (SC4670106),NTNC,A,YORK,GW,
SC3910003,LIBERTY CITY OF (SC3910003),C,A,PICKENS,SWP,
SC1870050,LIEBER CORRECTIONAL INSTITUTE (1870050),C,A,DORCHESTER,GW,
SC1010007,LINCOLNVILLE TOWN OF (SC1010007),C,A,CHARLESTON,SWP,
SC3870935,LIONS DEN (SC3870935),NC,A,ORANGEBURG,GW,
SC1570118,LITTLE BLOOMERS PRESCHOOL (1570118),NTNC,A,COLLETON,GW,
SC2070003,LITTLE CEDAR CRK RV PARK #1  (SC2070003),NC,A,FAIRFIELD,GW,
SC0270928,LITTLE COUNTRY STORE (SC0270928),NC,A,AIKEN,GW,
SC2170252,LITTLE FISHERS 2 (SC2170252),NC,A,FLORENCE,GW,
SC4670225,LOCAL MARKET #3 (SC4670225),NC,A,YORK,GW,
SC4420010,LOCKHART TOWN OF (SC4420010),C,A,UNION,SWP,
SC0870853,LOCKLAIR'S LANDING (SC0870853),NC,A,BERKELEY,GW,
SC1510001,LODGE TOWN OF (1510001),C,A,COLLETON,GW,
SC1960002,LONG CANE MHP (SC1960002),C,A,EDGEFIELD,GW,
SC3772007,LONG CREEK GENERAL STORE (SC3772007),NC,A,OCONEE,GW,
SC2070904,LONGTOWN CORNER STORE (SC2070904),NC,A,FAIRFIELD,GW,
SC2610010,LORIS CITY OF (SC2610010),C,A,HORRY,SWP,
SC4650019,LOST COLONY S/D (SC4650019),C,A,YORK,GW,
SC0920003,LOWER CALHOUN (SC0920003),C,A,ORANGEBURG,SWP,
SC1270906,LOWRY'S ONE STOP (SC1270906),NC,A,CHESTER,GW,
SC2820001,LUGOFF ELGIN WATER AUTH (SC2820001),C,A,KERSHAW,SW,
SC3110002,LYNCHBURG TOWN OF (SC3110002),C,A,LEE,GW,
SC1470906,MAC N MAC (SC1470906),NC,A,CLARENDON,GW,
SC0870050,MACDOUGALL CORRECTIONAL INST (SC0870050),C,A,BERKELEY,GW,
SC2370925,MACGREGOR FRUIT ORCHARD (SC2370925),NC,A,GREENVILLE,GW,
SC0870855,MACS LANDING (SC0870855),NC,A,BERKELEY,GW,
SC4670913,MAIN STREET DELI (SC4670913),NC,A,YORK,GW,
SC4030801,MANCHESTER FARMS (SC4030801),NTNC,A,RICHLAND,GW,
SC1410002,MANNING CITY OF (SC1410002),C,A,CLARENDON,GW,
SC3320001,MARCO RURAL WATER CO (SC3320001),C,A,MARION,GW,
SC2320004,MARIETTA W/D (SC2320004),C,A,GREENVILLE,SWP,
SC2470928,MARION MOORE PWS (SC2470928),NC,A,GREENWOOD,GW,
SC3420001,MARLBORO WATER CO (SC3420001),C,A,MARLBORO,GW,
SC2450021,MATHEWS HEIGHTS (SC2450021),C,A,GREENWOOD,GW,
SC4310003,MAYESVILLE TOWN OF (SC4310003),C,A,SUMTER,GW,
SC1310004,MCBEE TOWN OF (SC1310004),C,A,CHESTERFIELD,GWP,
SC3970675,MCCALL RA CAMP (SC3970675),NC,A,PICKENS,GW,
SC1070234,MCCLELLANVILLE DINER (SC1070234),NC,A,CHARLESTON,GW,
SC3410003,MCCOLL TOWN OF (SC3410003),C,A,MARLBORO,GW,
SC3850004,MCCORDS FERRY AT LAKE MARION (SC3850004),C,A,ORANGEBURG,GWP,
SC3520002,MCCORMICK CO W&SA (SC3520002),C,A,MCCORMICK,SWP,
SC3510001,MCCORMICK CPW (SC3510001),C,A,MCCORMICK,SW,
SC4070911,MCCRADY TRAINING CENTER (SC4070911),NTNC,A,RICHLAND,GW,
SC4060010,MCDONALDS MHP (SC4060010),C,A,RICHLAND,GW,
SC3260059,MCGREGOR DOWNS MHP (SC3260059),C,A,LEXINGTON,GW,
SC4060014,MEADOW LANE MHP (SC4060014),C,A,RICHLAND,GW,
SC4420001,MEANSVILLE RILEY W/D (SC4420001),C,A,UNION,SWP,
SC0870972,MEPKIN ABBEY (SC0870972),C,A,BERKELEY,GW,
SC4030007,MERIDIAN BRICK (SC4030007),NTNC,A,RICHLAND,GW,
SC4220003,METRO SUBDISTRICT B (SC4220003),C,A,SPARTANBURG,SWP,
SC4640005,METROLINA EMPLOYEE HOUSING (SC4640005),NC,A,YORK,GW,
SC2020002,MIDCOUNTY WATER DIST 1 (2020002),C,A,FAIRFIELD,GW,
SC2020004,MIDCOUNTY WATER DIST 2 (SC2020004),C,A,FAIRFIELD,SWP,
SC1870902,MIDDLETON PLACE (SC1870902),NTNC,A,DORCHESTER,GW,
SC3260182,MIDLAND HILLS MHP (SC3260182),C,A,LEXINGTON,GW,
SC4070931,MIDWAY ONE STOP (4070931),NC,A,RICHLAND,GW,
SC3870853,MILL CREEK CAMPGROUND #1 (SC3870853),NC,A,ORANGEBURG,GW,
SC3870854,MILL CREEK CAMPGROUND #2 (SC3870854),NC,A,ORANGEBURG,GW,
SC2870901,MILL POND WATER SYSTEM (SC2870901),NC,A,KERSHAW,GW,
SC3260050,MILLS MHP 1&2 (SC3260050),C,A,LEXINGTON,GW,
SC1070124,MINNIE HUGHES ELEMENTARY (SC1070124),NTNC,A,CHARLESTON,GW,
SC3970111,MIRACLE HILL GIRLS (SC3970111),NTNC,A,PICKENS,GW,
SC2460001,MITCHELL MHP (SC2460001),C,A,GREENWOOD,GW,
SC2020005,MITFORD WATER DISTRICT (SC2020005),C,A,FAIRFIELD,SWP,
SC0810001,MONCKS CORNER CITY OF (SC0810001),C,A,BERKELEY,SWP,
SC0210008,MONETTA TOWN OF (SC0210008),C,A,AIKEN,SWP,
SC0220008,MONTMORENCI W/D (SC0220008),C,A,AIKEN,GW,
SC2470914,MOSS GROCERY (2470914),NC,A,GREENWOOD,GW,
SC2370803,MOUNTAIN LAKE POA (2370803),NTNC,A,GREENVILLE,GW,
SC3770809,MOUNTAIN REST CABINS C/G (3770809),NC,A,OCONEE,GW,
SC3772006,MOUNTAIN REST WATER SYSTEM (3772006),NC,A,OCONEE,GW,
SC3270925,MR BS III (SC3270925),NC,A,LEXINGTON,GW,
SC1080032,MT PLEASANT RO DISPENSING STA#1(1080032),NC,A,CHARLESTON,GWP,
SC1080033,MT PLEASANT RO DISPENSING STA#2(1080033),NC,A,CHARLESTON,GWP,
SC1080066,MT PLEASANT RO DISPENSING STA#3(1080066),NC,A,CHARLESTON,GWP,
SC1010002,MT PLEASANT WATER WORKS (1010002),C,A,CHARLESTON,SWP,
SC3310002,MULLINS CITY OF (SC3310002),C,A,MARION,GW,
SC3250014,MURRAY HILL ESTATES (SC3250014),C,A,LEXINGTON,GW,
SC2610001,MYRTLE BEACH CITY OF (SC2610001),C,A,HORRY,SWP,
SC1270108,N CHESTER HEADSTART (SC1270108),NTNC,A,CHESTER,GW,
SC2610011,N MYRTLE BEACH CITY OF (SC2610011),C,A,HORRY,SWP,
SC0874021,N W WHITE COMPANY (SC0874021),NC,A,BERKELEY,GW,
SC0150006,NANCE S/D #2 (SC0150006),NC,A,ABBEVILLE,GW,
SC3770676,NANTAHALA OUTDOOR CENTER (SC3770676),NC,A,OCONEE,GW,
SC0270800,NAZARENE CAMPGROUND 1 (SC0270800),NC,A,AIKEN,GW,
SC0270801,NAZARENE CAMPGROUND 2 (SC0270801),NC,A,AIKEN,GW,
SC1570804,NEARSHORE 17 CAMPGROUND (SC1570804),NC,A,COLLETON,GW,
SC2370918,NEW BLUE RIDGE W/D RO UNIT (2370918),NC,A,GREENVILLE,SWP,
SC0272013,NEW BRIDGE POLO RANCH CLUBHOUSE,NC,A,AIKEN,GW,
SC1570119,NEW COTTAGEVILLE ELEMENTARY (1570119),NTNC,A,COLLETON,GW,
SC0210007,NEW ELLENTON CPW (SC0210007),C,A,AIKEN,GW,
SC0220010,NEW HOLLAND W/D (SC0220010),C,A,AIKEN,GW,
SC4030015,NEW WELL AT IPPE (SC4030015),NC,A,RICHLAND,GW,
SC1470908,NEW ZION MINI MART (SC1470908),NC,A,CLARENDON,GW,
SC3610001,NEWBERRY CITY OF (3610001),C,A,NEWBERRY,SW,
SC3620002,NEWBERRY CO W&SA (SC3620002),C,A,NEWBERRY,SW,
SC2174002,NIAGARA (SC2174002),NC,A,FLORENCE,SWP,
SC2410002,NINETY SIX CPW (SC2410002),C,A,GREENWOOD,SWP,
SC2572000,NIXVILLE COUNTRY STORE (SC2572000),NC,A,HAMPTON,GW,
SC0570900,NORTH AMERICAN FILTRATION CO (SC0570900),NTNC,A,BAMBERG,GW,
SC0210003,NORTH AUGUSTA CITY OF (SC0210003),C,A,AIKEN,SW,
SC1470863,NORTH SHORE WATER SYS (SC1470863),C,A,CLARENDON,GW,
SC3810010,NORTH TOWN OF (SC3810010),C,A,ORANGEBURG,GW,
SC3870806,NORTHPOINT CAMPGROUND (SC3870806),NC,A,ORANGEBURG,GW,
SC3810008,NORWAY TOWN OF (3810008),C,A,ORANGEBURG,SWP,
SC2870675,NOSOCA PINES RANCH (SC2870675),NC,A,KERSHAW,GW,
SC4080027,NWS WHOLE FOOD MARKET 175 (SC4080027),NC,A,RICHLAND,SWP,
SC0850014,O HAYNES SYSTEM (0850014),C,A,BERKELEY,GW,
SC1270801,OAK GROVE PLANTATION CAMPGROUND (SC12708,NC,A,CHESTER,GW,
SC1070802,OAK PLANTATION CAMPGROUND (1070802),NC,A,CHARLESTON,GW,
SC0250004,OAKHILL S/D (SC0250004),C,A,AIKEN,GW,
SC2673002,OCEAN LAKES DISPEN STATION 1 (2673002),NC,A,HORRY,GWP,
SC2680157,OCEAN LAKES DISPENSING STA 2 (SC2680157),NC,A,HORRY,GWP,
SC2660048,OCEAN LAKES LTD (SC2660048),C,A,HORRY,SWP,
SC2110006,OLANTA TOWN OF (SC2110006),C,A,FLORENCE,GW,
SC0510004,OLAR GOVAN WATER SYSTEM (0510004),C,A,BAMBERG,GW,
SC0270875,OLD BARNWELL GOLF COURSE (SC0270875),NTNC,A,AIKEN,GW,
SC1070247,OLD POST OFFICE RESTAURANT (SC1070247),NC,A,CHARLESTON,GW,
SC3230807,OLE TIMEY MEATS (3230807),NC,A,LEXINGTON,GW,
SC2470853,ONE STOP MARINA (2470853),NC,A,GREENWOOD,GW,
SC3970910,OOLENOY VISITORS CENTER (SC3970910),NC,A,PICKENS,GW,
SC3810012,ORANGEBURG COUNTY (SC3810012),C,A,ORANGEBURG,SWP,
SC3810001,ORANGEBURG DPU (SC3810001),C,A,ORANGEBURG,SW,
SC4320006,OSWEGO RURAL WATER CO (SC4320006),C,A,SUMTER,GWP,
SC2070903,OUTBOARD BOAT CLUB/FAIRFIELD (2070903),NC,A,FAIRFIELD,GW,
SC0270401,PACE LIVING (SC0270401),NC,A,AIKEN,GW,
SC3270956,PADGETTS GROCERY (SC3270956),NC,A,LEXINGTON,GW,
SC1310003,PAGELAND CITY OF (SC1310003),C,A,CHESTERFIELD,GWP,
SC0670912,PALM PANTRY 3 (SC0670912),NC,A,BARNWELL,GW,
SC4270875,PALMETTO  HILLS GOLF CLUB (SC4270875),NC,A,SPARTANBURG,GW,
SC2370679,PALMETTO BIBLE CAMP (SC2370679),NC,A,GREENVILLE,GW,
SC0774001,PALMETTO BLUFF TEMP GOLF FACILITIES,NC,A,BEAUFORT,GW,
SC2760013,PALMETTO MHP 2 (SC2760013),C,A,JASPER,GW,
SC4060006,PALMETTO PARK (4060006),C,A,RICHLAND,GW,
SC4679012,PALMETTO PET HOSPITAL (SC4679012),NC,A,YORK,GW,
SC4672015,PALMETTO SEAFOOD (SC4672015),NC,A,YORK,GW,
SC1470801,PALMETTO SHORES RV RESORT (1470801),NC,A,CLARENDON,GW,
SC4679001,PALMETTO VET CLINIC (SC4679001),NC,A,YORK,GW,
SC2110010,PAMPLICO TOWN OF (SC2110010),C,A,FLORENCE,GW,
SC4672023,PANTRY ROAD (SC4672023),NC,A,YORK,GW,
SC4670206,PASSMORE GROCERY & GRILL (4670206),NC,A,YORK,GW,
SC2570102,PATRICK HENRY ACADEMY (SC2570102),NTNC,A,HAMPTON,GW,
SC4660003,PECAN GROVE COMMONS (SC4660003),C,A,YORK,GW,
SC2670916,PEE DEE FARMS STORE (SC2670916),NC,A,HORRY,GW,
SC0410006,PENDLETON TOWN OF (SC0410006),C,A,ANDERSON,SWP,
SC4060021,PERCIVAL ESTATES MHP (SC4060021),C,A,RICHLAND,GW,
SC0210006,PERRY TOWN OF (SC0210006),C,A,AIKEN,GW,
SC4170875,PERSIMMON HILL GOLF CLUB (SC4170875),NC,A,SALUDA,GW,
SC3910001,PICKENS WTP (SC3910001),C,A,PICKENS,SWP,
SC4679015,PINE GROVE CHURCH CDC (SC4679015),NTNC,A,YORK,GW,
SC0870807,PINE LAKE MHP (SC0870807),NC,A,BERKELEY,GW,
SC3260157,PINE RIDGE MHP (SC3260157),C,A,LEXINGTON,GW,
SC4060024,PINE VALLEY COMMUNITY (SC4060024),C,A,RICHLAND,GW,
SC4650037,PINEHAVEN S/D (SC4650037),C,A,YORK,GW,
SC4650015,PINETUCK S/D (SC4650015),NC,A,YORK,GW,
SC4310002,PINEWOOD TOWN OF (SC4310002),C,A,SUMTER,GW,
SC4060052,PINEY LANE MHP (SC4060052),C,A,RICHLAND,GW,
SC3720001,PIONEER RURAL WATER DIST (SC3720001),C,A,OCONEE,SW,
SC1272004,PLAYERS BBQ (SC1272004),NC,A,CHESTER,GW,
SC3260147,PLEASANT RIDGE MHP (SC3260147),C,A,LEXINGTON,GW,
SC4370601,POINSETT STATE PARK CAMP (SC4370601),NC,A,SUMTER,GW,
SC0960001,POPLAR CREEK  (SC0960001),NC,A,CALHOUN,GW,
SC3750002,PORT BASS I (SC3750002),C,A,OCONEE,GW,
SC3750012,PORT BASS II (SC3750012),C,A,OCONEE,GW,
SC1470867,POTATO CREEK LANDING (SC1470867),NC,A,,GW,
SC0420002,POWDERSVILLE WATER DISTRICT (SC0420002),C,A,ANDERSON,SWP,
SC3780006,PRIMO - PUBLIX 1671 (SC3780006),NC,A,OCONEE,SWP,
SC1373002,PRIMO BRANDS (SC1373002),NC,A,FLORENCE,GWP,
SC4680023,PRIMO-CVS 7036 CLOVER (SC4580023),NC,A,YORK,SWP,
SC1080078,PRIMO-FOOD LION 0252 (SC1080078),NC,A,CHARLESTON,SWP,
SC2680168,PRIMO-FOOD LION 0281 (SC2680168),NC,A,HORRY,SWP,
SC2680174,PRIMO-FOOD LION 0289 (2680174),NC,A,HORRY,SWP,
SC0880013,PRIMO-FOOD LION 0410 (0880013),NC,A,BERKELEY,SWP,
SC2680176,PRIMO-FOOD LION 0427 (2680176),NC,A,HORRY,SWP,
SC2280017,PRIMO-FOOD LION 0456 (2280017),NC,A,GEORGETOWN,SWP,
SC2280018,PRIMO-FOOD LION 0706 (2280018),NC,A,GEORGETOWN,SWP,
SC2680183,PRIMO-FOOD LION 0912 (SC2680183),NC,A,HORRY,SWP,
SC2680178,PRIMO-FOOD LION 0916 (2680178),NC,A,HORRY,SWP,
SC0780029,PRIMO-FOOD LION 0945 (0780029),NC,A,BEAUFORT,SWP,
SC2680169,PRIMO-FOOD LION 1047 (2680169),NC,A,HORRY,SWP,
SC1080076,PRIMO-FOOD LION 1097 (SC1080076),NC,A,CHARLESTON,SWP,
SC2280022,PRIMO-FOOD LION 1198 (SC2280022),NC,A,GEORGETOWN,SWP,
SC0780030,PRIMO-FOOD LION 1330 (0780030),NC,A,BEAUFORT,SWP,
SC0880011,PRIMO-FOOD LION 1378 (SC0880011),NC,A,BERKELEY,SWP,
SC2680180,PRIMO-FOOD LION 1384 (2680180),NC,A,HORRY,SWP,
SC2280021,PRIMO-FOOD LION 1389 (2280021),NC,A,GEORGETOWN,SWP,
SC1080077,PRIMO-FOOD LION 1444 (1080077),NC,A,CHARLESTON,SWP,
SC2680172,PRIMO-FOOD LION 1468 (2680172),NC,A,HORRY,SWP,
SC1880010,PRIMO-FOOD LION 1542 (SC1880010),NC,A,DORCHESTER,SWP,
SC2680185,PRIMO-FOOD LION 1556 (2680185),NC,A,HORRY,SWP,
SC2280020,PRIMO-FOOD LION 1583 (SC2280020),NC,A,GEORGETOWN,SWP,
SC2680179,PRIMO-FOOD LION 1595 (SC2680179),NC,A,HORRY,SWP,
SC3380001,PRIMO-FOOD LION 1597 (SC3380001),NC,A,MARION,GWP,
SC2680177,PRIMO-FOOD LION 1599 (2680177),NC,A,HORRY,SWP,
SC2680171,PRIMO-FOOD LION 1605 (2680171),NC,A,HORRY,SWP,
SC1080085,PRIMO-FOOD LION 1691 (SC1080085),NC,A,CHARLESTON,SWP,
SC2680193,PRIMO-FOOD LION 2240 (SC2680193),NC,A,HORRY,SWP,
SC4080033,PRIMO-FOOD LION 2241 (SC4080033),NC,A,RICHLAND,SWP,
SC2180007,PRIMO-FOOD LION 2242 (SC2180007),NC,A,FLORENCE,GWP,
SC1880018,PRIMO-FOOD LION 2247 (SC1880018),NC,A,DORCHESTER,SWP,
SC2680209,PRIMO-FOOD LION 2248,NC,A,HORRY,SWP,
SC2680210,PRIMO-FOOD LION 2249 (SC2680210),NC,A,HORRY,SWP,
SC1080084,PRIMO-FOOD LION 2532 (1080084),NC,A,CHARLESTON,SWP,
SC2680192,PRIMO-FOOD LION 2808 (SC2680192),NC,A,HORRY,SWP,
SC2280027,PRIMO-FOOD LION 2859 (SC2280027),NC,A,GEORGETOWN,SWP,
SC1080081,PRIMO-FOOD LION 933 (SC1080081),NC,A,CHARLESTON,SWP,
SC3280008,PRIMO-KROGER 002 (SC3280008),NC,A,LEXINGTON,SWP,
SC4080017,PRIMO-KROGER 012 (4080017),NC,A,RICHLAND,SWP,
SC2680163,PRIMO-KROGER 016 (SC2680163),NC,A,HORRY,SWP,
SC2680194,PRIMO-KROGER 020 (SC2680194),NC,A,HORRY,SWP,
SC2680187,PRIMO-KROGER 025 (SC2680187),NC,A,HORRY,SWP,
SC2680164,PRIMO-KROGER 026 (SC2680164),NC,A,HORRY,SWP,
SC4080014,PRIMO-KROGER 448 (4080014),NC,A,RICHLAND,SWP,
SC0780052,PRIMO-KROGER 499 (SC0780052),NC,A,BEAUFORT,SWP,
SC0280008,PRIMO-KROGER 640 (SC0280008),NC,A,AIKEN,SWP,
SC0780042,PRIMO-KROGER 671 (0780042),NC,A,JASPER,GWP,
SC0280006,PRIMO-KROGER 675 (SC0280006),NC,A,AIKEN,SWP,
SC4080035,PRIMO-KROGER 678 (4080035),NC,A,RICHLAND,SWP,
SC0780051,PRIMO-KROGER 703 (SC0780051),NC,A,BEAUFORT,SWP,
SC2380028,PRIMO-LA UNICA SUPERCENTER (SC2380028),NC,A,GREENVILLE,SWP,
SC2680188,PRIMO-LOWES FOOD 233 (SC2680188),NC,A,HORRY,SWP,
SC2380027,PRIMO-LOWES FOOD 264 (SC2380027),NC,A,GREENVILLE,SWP,
SC2680200,PRIMO-LOWES FOODS (SC2680200),NC,A,HORRY,SWP,
SC1080100,PRIMO-LOWES FOODS 265 (SC1080100),NC,A,CHARLESTON,SWP,
SC3280023,PRIMO-LOWES FOODS 267 (SC3280023),NC,A,LEXINGTON,SWP,
SC3280022,PRIMO-LOWES FOODS 268,NC,A,LEXINGTON,SWP,
SC1880017,PRIMO-LOWES FOODS 270 (SC1880017),NC,A,DORCHESTER,SWP,
SC4080037,PRIMO-LOWES FOODS 272 (SC4080037),NC,A,RICHLAND,SWP,
SC2280026,PRIMO-LOWES FOODS 9160 OCEAN HWY(2280026,NC,A,GEORGETOWN,SWP,
SC2680201,PRIMO-LOWES FOODS S MYRTLE BEACH 2680201,NC,A,HORRY,SWP,
SC0780049,PRIMO-MCAS BEAUFORT (SC0780049),NC,A,BEAUFORT,SWP,
SC0780038,PRIMO-MCX MARINE MART-LAUREL BAY0780038,NC,A,BEAUFORT,SWP,
SC0780040,PRIMO-MCX MARINE MART-PI (SC0780040),NC,A,BEAUFORT,SWP,
SC0780039,PRIMO-MCX MOBILE HOUSING COMMUNITY CTR,NC,A,BEAUFORT,SWP,
SC0780048,PRIMO-PUBLIX #1714 (SC0780048),NC,A,BEAUFORT,SWP,
SC4080038,PRIMO-PUBLIX 0017 (SC4080038),NC,A,RICHLAND,SWP,
SC0780025,PRIMO-PUBLIX 0473 (SC0780025),NC,A,BEAUFORT,GWP,
SC0280010,PRIMO-PUBLIX 0506 (SC0280010),NC,A,AIKEN,SWP,
SC0780028,PRIMO-PUBLIX 0700 (SC0780028),NC,A,BEAUFORT,GWP,
SC1880019,PRIMO-PUBLIX 0824 (SC1880019),NC,A,DORCHESTER,SWP,
SC0780027,PRIMO-PUBLIX 0845 (SC0780027),NC,A,BEAUFORT,SWP,
SC0780033,PRIMO-PUBLIX 1205 (SC0780033),NC,A,BEAUFORT,SWP,
SC0880014,PRIMO-PUBLIX 1266 (SC0880014),NC,A,BERKELEY,SWP,
SC2780002,PRIMO-PUBLIX 1354 (SC2780002),NC,A,JASPER,SWP,
SC3980005,PRIMO-PUBLIX 1379 (3980005),NC,A,PICKENS,SWP,
SC3280013,PRIMO-PUBLIX 1383 (SC3280013),NC,A,LEXINGTON,SWP,
SC4680010,PRIMO-PUBLIX 1412 (4680010),NC,A,YORK,SWP,
SC4680013,PRIMO-PUBLIX 1419 (SC4680013),NC,A,YORK,SWP,
SC0780045,PRIMO-PUBLIX 1463 (SC0780045),NC,A,BEAUFORT,SWP,
SC2480002,PRIMO-PUBLIX 1464 (2480002),NC,A,GREENWOOD,SWP,
SC2680202,PRIMO-PUBLIX 1479 (2680202),NC,A,HORRY,SWP,
SC4680019,PRIMO-PUBLIX 1482 (SC4680019),NC,A,YORK,SWP,
SC4680017,PRIMO-PUBLIX 1485 (SC4680017),NC,A,YORK,SWP,
SC4680020,PRIMO-PUBLIX 1486 (SC4680020),NC,A,YORK,SWP,
SC2680203,PRIMO-PUBLIX 1510 (2680203),NC,A,HORRY,SWP,
SC3280021,PRIMO-PUBLIX 1511 CHAPIN (3280021),NC,A,LEXINGTON,SWP,
SC2680205,PRIMO-PUBLIX 1524 (SC2680205),NC,A,HORRY,SWP,
SC2680208,PRIMO-PUBLIX 1568 (SC2680208),NC,A,HORRY,SWP,
SC2380029,PRIMO-PUBLIX 1608 (SC2380029),NC,A,GREENVILLE,SWP,
SC3280024,PRIMO-PUBLIX 1637 (SC3280024),NC,A,LEXINGTON,SWP,
SC1080099,PRIMO-PUBLIX 1645  (SC1080099),NC,A,CHARLESTON,SWP,
SC0880021,PRIMO-PUBLIX 1646 (SC0880021),NC,A,BERKELEY,SWP,
SC0780047,PRIMO-PUBLIX 1716 BEAUFORT (SC0780047),NC,A,BEAUFORT,SWP,
SC2380031,PRIMO-PUBLIX 1717 (SC2380031),NC,A,GREENVILLE,SWP,
SC2380034,PRIMO-PUBLIX 1767 (SC2380034),NC,A,GREENVILLE,SWP,
SC0880022,PRIMO-PUBLIX 1775 (SC0880022),NC,A,BERKELEY,SWP,
SC2680212,PRIMO-PUBLIX 1806 (SC2680212),NC,A,HORRY,SWP,
SC2680211,PRIMO-PUBLIX 1812 (SC2680211),NC,A,HORRY,SWP,
SC4280027,PRIMO-PUBLIX 1856 (SC4280027),NC,A,SPARTANBURG,SWP,
SC0480017,PRIMO-PUBLIX 563 (SC0480017),NC,A,ANDERSON,SWP,
SC4080006,PRIMO-PUBLIX 587 (SC4080006),NC,A,RICHLAND,SWP,
SC4080036,PRIMO-PUBLIX 656 (SC4080036),NC,A,RICHLAND,SWP,
SC2280028,PRIMO-PUBLIX PAWLEYS ISLAND (SC2280028),NC,A,GEORGETOWN,SWP,
SC2380030,PRIMO-SPROUTS 563 (SC2380030),NC,A,GREENVILLE,SWP,
SC1680002,PRIMO-WALMART (SC1680002),NC,A,DARLINGTON,GWP,
SC0280004,PRIMO-WALMART 0514 (0280004),NC,A,AIKEN,SWP,
SC2680160,PRIMO-WALMART 0574 (SC2680160),NC,A,HORRY,SWP,
SC4680006,PRIMO-WALMART 0585 (4680006),NC,A,YORK,SWP,
SC3880004,PRIMO-WALMART 0616 (3880004),NC,A,ORANGEBURG,SWP,
SC3680001,PRIMO-WALMART 0624 (SC3680001),NC,A,NEWBERRY,SWP,
